,,,,MW 
sc2015,y2030,2030-01-02T15:00:00+01:00,Hydro_UGH,0.0
sc2015,y2030,2030-01-02T15:00:00+01:00,Solar_PV,1537.7588649
sc2015,y2030,2030-01-02T17:00:00+01:00,Nuclear,1000.0
sc2015,y2030,2030-01-02T17:00:00+01:00,Cogeneration,406.5816448
sc2015,y2030,2030-01-02T17:00:00+01:00,Coal_Subbituminous,0.0
sc2015,y2030,2030-01-02T17:00:00+01:00,CCGT,1287.3779652550004
sc2015,y2030,2030-01-02T17:00:00+01:00,Onshore_wind,291.20202844999994
sc2015,y2030,2030-01-02T17:00:00+01:00,PumpedStorage_Hydro,868.237717325
sc2015,y2030,2030-01-02T17:00:00+01:00,Pure_PumpedStorage_Hydro,0.0
sc2015,y2030,2030-01-02T17:00:00+01:00,Hydro_UGH,0.0
sc2015,y2030,2030-01-02T17:00:00+01:00,Solar_PV,486.28720053
sc2015,y2030,2030-01-02T19:00:00+01:00,Nuclear,1000.0
sc2015,y2030,2030-01-02T19:00:00+01:00,Cogeneration,416.41301454999996
sc2015,y2030,2030-01-02T19:00:00+01:00,Coal_Subbituminous,0.0
sc2015,y2030,2030-01-02T19:00:00+01:00,CCGT,1287.3779652550004
sc2015,y2030,2030-01-02T19:00:00+01:00,Onshore_wind,309.57580545499997
sc2015,y2030,2030-01-02T19:00:00+01:00,PumpedStorage_Hydro,1543.1782252670275
sc2015,y2030,2030-01-02T19:00:00+01:00,Pure_PumpedStorage_Hydro,31.601234121471755
sc2015,y2030,2030-01-02T19:00:00+01:00,Hydro_UGH,379.99999999999994
sc2015,y2030,2030-01-02T19:00:00+01:00,Solar_PV,0.6440898315000463
sc2015,y2030,2030-01-02T21:00:00+01:00,Nuclear,1000.0
sc2015,y2030,2030-01-02T21:00:00+01:00,Cogeneration,421.7008058
sc2015,y2030,2030-01-02T21:00:00+01:00,Coal_Subbituminous,0.0
sc2015,y2030,2030-01-02T21:00:00+01:00,CCGT,1287.3779652550004
sc2015,y2030,2030-01-02T21:00:00+01:00,Onshore_wind,295.544159635
sc2015,y2030,2030-01-02T21:00:00+01:00,PumpedStorage_Hydro,1600.0
sc2015,y2030,2030-01-02T21:00:00+01:00,Pure_PumpedStorage_Hydro,107.75335757955628
sc2015,y2030,2030-01-02T21:00:00+01:00,Hydro_UGH,390.6650884804425
sc2015,y2030,2030-01-02T21:00:00+01:00,Solar_PV,0.0
sc2015,y2030,2030-01-02T23:00:00+01:00,Nuclear,1000.0
sc2015,y2030,2030-01-02T23:00:00+01:00,Cogeneration,417.43868299999997
sc2015,y2030,2030-01-02T23:00:00+01:00,Coal_Subbituminous,0.0
sc2015,y2030,2030-01-02T23:00:00+01:00,CCGT,1287.3779652550004
sc2015,y2030,2030-01-02T23:00:00+01:00,Onshore_wind,324.78024574499995
sc2015,y2030,2030-01-02T23:00:00+01:00,PumpedStorage_Hydro,1553.2206693334936
sc2015,y2030,2030-01-02T23:00:00+01:00,Pure_PumpedStorage_Hydro,0.0
sc2015,y2030,2030-01-02T23:00:00+01:00,Hydro_UGH,119.7758564665063
sc2015,y2030,2030-01-02T23:00:00+01:00,Solar_PV,0.0
sc2015,y2030,2030-01-03T01:00:00+01:00,Nuclear,1000.0
sc2015,y2030,2030-01-03T01:00:00+01:00,Cogeneration,382.45782755000005
sc2015,y2030,2030-01-03T01:00:00+01:00,Coal_Subbituminous,0.0
sc2015,y2030,2030-01-03T01:00:00+01:00,CCGT,1287.3779652550004
sc2015,y2030,2030-01-03T01:00:00+01:00,Onshore_wind,319.60040424
sc2015,y2030,2030-01-03T01:00:00+01:00,PumpedStorage_Hydro,931.421584115
sc2015,y2030,2030-01-03T01:00:00+01:00,Pure_PumpedStorage_Hydro,0.0
sc2015,y2030,2030-01-03T01:00:00+01:00,Hydro_UGH,0.0
sc2015,y2030,2030-01-03T01:00:00+01:00,Solar_PV,0.0
sc2015,y2030,2030-01-03T03:00:00+01:00,Nuclear,1000.0
sc2015,y2030,2030-01-03T03:00:00+01:00,Cogeneration,379.98758155
sc2015,y2030,2030-01-03T03:00:00+01:00,Coal_Subbituminous,0.0
sc2015,y2030,2030-01-03T03:00:00+01:00,CCGT,1287.3779652550004
sc2015,y2030,2030-01-03T03:00:00+01:00,Onshore_wind,383.11279952999996
sc2015,y2030,2030-01-03T03:00:00+01:00,PumpedStorage_Hydro,302.93210209499966
sc2015,y2030,2030-01-03T03:00:00+01:00,Pure_PumpedStorage_Hydro,0.0
sc2015,y2030,2030-01-03T03:00:00+01:00,Hydro_UGH,0.0
sc2015,y2030,2030-01-03T03:00:00+01:00,Solar_PV,0.0
sc2015,y2030,2030-01-03T05:00:00+01:00,Nuclear,1000.0
